time_s,q_ref_1,q_ref_2,q_ref_3,q_ref_4,q_ref_5,q_ref_6,q_1,q_2,q_3,q_4,q_5,q_6,dq_ref_1,dq_ref_2,dq_ref_3,dq_ref_4,dq_ref_5,dq_ref_6,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tcp_ref_x,tcp_ref_y,tcp_ref_z,tcp_x,tcp_y,tcp_z
0.01,-0.563235049,0.366784058,-1.478937604,-1.164771808,0.620171667,1.084772042,-0.5632400034612904,0.36678809531073797,-1.4789308832006212,-1.164778625494181,0.6201744146941878,1.0847756750204636,0.001097567,-0.001017252,-0.001813924,0.00190699,-0.000655812,-0.00197723,5.678697316635805e-05,-0.00020289524163506366,-0.00048776514917427095,0.0005696461170559343,-0.00010016759855575875,-0.0014362513406792634,0.021311046665718012,-0.01669086624109349,-0.02175620556351574,0.0028110376495074554,-0.00030529914259944525,-5.4177354136393414e-05,0.6021814233503194,-0.2513724960900924,0.5056386816099181,0.6021812724272928,-0.2513767351230621,0.5056385406721181
0.011,-0.563233897,0.366782989,-1.478939509,-1.164769806,0.620170978,1.084769966,-0.5632399439609767,0.36678785932328434,-1.4789314553833595,-1.1647779609697377,0.6201742947644343,1.0847740117544709,0.001207325,-0.001118974,-0.001995311,0.002097694,-0.000721392,-0.002174957,5.950031380370709e-05,-0.00023598745362384815,-0.0005721827383535848,0.0006645244433030667,-0.00011992975347222817,-0.0016632659927133433,0.023561189821587197,-0.018146763255956426,-0.023414341517580144,0.0030294385081482073,-0.00033389876760713194,-5.307254399524767e-05,0.6021814195146823,-0.25137144056807526,0.5056386847087276,0.6021812170324908,-0.25137658631836185,0.5056384976906843
0.012,-0.563232634,0.36678182,-1.478941595,-1.164767613,0.620170224,1.084767692,-0.5632398809937271,0.3667875876279203,-1.478932118357751,-1.1647771959469913,0.6201741522087942,1.0847721172348628,0.001317084,-0.001220694,-0.002176698,0.0022884,-0.000786971,-0.002372685,6.29672495261608e-05,-0.0002716953640577919,-0.0006629743915829027,0.0007650227464821555,-0.0001425556400392666,-0.001894519608185829,0.025807034382188475,-0.019556735510875833,-0.024977709114587875,0.0032384134468611122,-0.0003614897679228272,-5.152893593344506e-05,0.6021814159982373,-0.2513702838796042,0.5056386871968315,0.602181151216073,-0.25137641833851365,0.5056384460786202
0.013,-0.563231262,0.366780548,-1.478943862,-1.164765229,0.620169404,1.08476522,-0.5632398137479905,0.36678727773858777,-1.4789328781313469,-1.1647763253653451,0.620173984116719,1.0847699887877236,0.001426843,-0.001322413,-0.002358082,0.002479108,-0.000852551,-0.002570415,6.724573669925139e-05,-0.00030988933253322317,-0.0007597735958898799,0.0008705816462023881,-0.00016809207524022784,-0.002128447139154071,0.028047120065067585,-0.020923447208114048,-0.026451643958006588,0.003438980014500069,-0.00038803062956988216,-4.966379203846502e-05,0.6021814118470108,-0.2513690270361874,0.5056386909559359,0.6021810742906378,-0.25137622979269947,0.5056383851091799
0.014,-0.563229781,0.366779175,-1.478946311,-1.164762654,0.620168519,1.084762551,-0.5632397413606226,0.3667869272912319,-1.4789337403683644,-1.1647753446704787,0.6201737875487886,1.0847676249905966,0.001536602,-0.00142413,-0.002539466,0.002669818,-0.00091813,-0.002768145,7.238736786795554e-05,-0.00035044735585530344,-0.0008622370175862923,0.0009806948664375236,-0.00019656793033452687,-0.002363797126949393,0.03028032870490273,-0.02224888200608388,-0.027841314249469104,0.0036320596766991524,-0.0004134665227184651,-4.756980163376254e-05,0.6021814072079115,-0.2513676700396933,0.5056386942954031,0.6021809856125182,-0.2513760193416963,0.5056383140778639
0.015,-0.563228189,0.3667777,-1.478948941,-1.164759889,0.620167568,1.084759684,-0.563239662922544,0.3667865340369257,-1.4789347104112183,-1.1647742497661735,0.6201735595549538,1.0847650254182784,0.001646362,-0.001525846,-0.002720847,0.00286053,-0.000983708,-0.002965878,7.84380785493768e-05,-0.0003932543062516853,-0.0009700428538333256,0.0010949043051551462,-0.00022799383482995103,-0.002599572318229243,0.03250587068340944,-0.023535237567536078,-0.029151313441211198,0.003818466713160909,-0.00043777263212346074,-4.5328709376705885e-05,0.6021814025064968,-0.25136621184887303,0.5056386981574312,0.6021808845798422,-0.2513757856935231,0.5056382323030437
0.016,-0.563226488,0.366776123,-1.478951752,-1.164756933,0.620166551,1.084756619,-0.5632395774835801,0.3667860958354299,-1.4789357932999552,-1.1647730369721891,0.6201732971878735,1.084762190418867,0.001756123,-0.001627561,-0.002902227,0.003051244,-0.001049286,-0.003163612,8.543896395431439e-05,-0.00043820149576372444,-0.0010828887369898185,0.0012127939843099666,-0.0002623670802401256,-0.00283499941142835,0.03472262907892792,-0.024784473627717178,-0.0303861082117455,0.003998979475161997,-0.00046092133861545684,-4.300326368650142e-05,0.6021813973182722,-0.25136465359854104,0.5056387026468036,0.6021807706307089,-0.25137552759971027,0.5056381391263794
0.017,-0.563224677,0.366774445,-1.478954745,-1.164753787,0.620165469,1.084753357,-0.5632394840573941,0.3667856106490517,-1.478936993791014,-1.1647717029832512,0.6201729975165673,1.0847591209333456,0.001865884,-0.001729274,-0.003083604,0.00324196,-0.001114864,-0.003361347,9.342618600634689e-05,-0.00048518637821860284,-0.0012004910587072781,0.0013339889380191287,-0.00029967130620190427,-0.003069485521384769,0.03692986201928257,-0.025998317340796037,-0.03154990377956843,0.004174261788985386,-0.0004828815125717261,-4.064071832573038e-05,0.6021813918121066,-0.2513629946633413,0.5056387066113571,0.6021806432413986,-0.2513752438517667,0.5056380339132492
0.018,-0.563222756,0.366772665,-1.47895792,-1.164750449,0.620164322,1.084749897,-0.5632393816256493,0.36678507653700154,-1.4789383163744263,-1.1647702448335804,0.6201726576390778,1.0847558183548625,0.001975646,-0.001830985,-0.00326498,0.003432678,-0.001180441,-0.003559085,0.00010243174476797996,-0.0005341120501411669,-0.0013225834123640273,0.0014581496707553256,-0.00033987748946365416,-0.0033025784830692665,0.039126847669570655,-0.027178612697331093,-0.032646635448074654,0.00434497333009656,-0.0005036381460457842,-3.828458594176985e-05,0.6021813859949663,-0.2513612348091521,0.5056387109041224,0.602180501924656,-0.2513749332778592,0.5056379160529372
0.019,-0.563220726,0.366770783,-1.478961275,-1.164746921,0.620163108,1.084746239,-0.5632392691420277,0.36678449164991994,-1.4789397652902354,-1.1647686598625249,0.6201722746929954,1.0847522843975823,0.002085409,-0.001932695,-0.003446353,0.0036234,-0.001246017,-0.003756824,0.00011248362169137294,-0.0005848870816114631,-0.0014489158090901797,0.0015849710556002465,-0.0003829460824413629,-0.0035339572801184977,0.041312821768948585,-0.02832702335976597,-0.033679771835730454,0.004511635139294852,-0.0005232023887337556,-3.596553033745165e-05,0.6021813797620614,-0.2513593751539318,0.5056387161228032,0.6021803462280624,-0.25137459473976653,0.5056377849588414
