time_s,q_ref_1,q_ref_2,q_ref_3,q_ref_4,q_ref_5,q_ref_6,q_1,q_2,q_3,q_4,q_5,q_6,dq_ref_1,dq_ref_2,dq_ref_3,dq_ref_4,dq_ref_5,dq_ref_6,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,ddq_ref_1,ddq_ref_2,ddq_ref_3,ddq_ref_4,ddq_ref_5,ddq_ref_6,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tcp_ref_x,tcp_ref_y,tcp_ref_z,tcp_x,tcp_y,tcp_z
0.01,-0.216425284,0.277313463,-1.649532005,-0.562735652,0.41425667,0.523646637,-0.21642524267328064,0.2773134705822011,-1.6495321816640451,-0.5627355252830608,0.4142569634009851,0.5236465005067753,-0.063321022,0.004258417,0.068916092,-0.214686487,-0.023024246,0.210411966,-0.06331872714902019,0.004260462180723399,0.06892044456402455,-0.21468896363823145,-0.02302179431810885,0.21041322668414694,0.0030274999999946317,-0.0034404999999999575,-0.04737849999999355,0.037638999999984435,0.05459249999999827,-0.03790300000000002,0.0018458858839355016,-27.047645805557863,13.133701800246342,2.0829477032194617,0.07659729588092308,0.000491211844292569,0.6414395563633923,-0.0004999963956840247,0.541439557347307,0.6414395371959105,-0.0004999456413600824,0.5414395124931951
0.011,-0.216488603,0.27731772,-1.649463113,-0.56295032,0.414233673,0.52385703,-0.21648855844105272,0.27731772751368805,-1.6494633088756316,-0.5629501761178385,0.4142339959987902,0.5238568760297625,-0.063318001,0.004254976,0.068868702,-0.21464881,-0.022969647,0.21037402,-0.06331576777208812,0.004256931486929767,0.06887278841357225,-0.2146508347776598,-0.022967402194910023,0.21037552298716825,0.003013500000008662,-0.0034404999999999575,-0.0474010000000078,0.037715500000032876,0.054605500000004525,-0.03798850000001153,0.001837799622867658,-27.04781141390234,13.133813239899812,2.0827273983303973,0.0765877178964996,0.0004912452748599755,0.6414394635395249,-0.0005499953919085742,0.5414394641158016,0.6414394422884935,-0.0005499399054369411,0.5414394151677169
0.012,-0.21655192,0.277321973,-1.649394268,-0.56316495,0.41421073,0.524067385,-0.21655187125760134,0.27732198092178956,-1.649394483731661,-0.5631647888335738,0.4142110829488136,0.5240672139224541,-0.063314995,0.004251536,0.06882129,-0.214611056,-0.022915035,0.210335989,-0.06331281654860699,0.004253408101505879,0.06882514397076567,-0.21461271573530033,-0.022913049976606918,0.21033789269169154,0.002999499999990718,-0.0034404999999995134,-0.04742400000000657,0.03779249999996637,0.05461799999999606,-0.03807449999997914,0.0018295322688092325,-27.047976733570543,13.133923812590194,2.082507138571369,0.07657815118653187,0.0004912649513031991,0.6414393618383392,-0.0005999950159914428,0.5414393625663178,0.6414393385094661,-0.0005999341629734059,0.5414393089699595
0.013,-0.216615233,0.277326223,-1.64932547,-0.563379542,0.414187843,0.524277702,-0.21661518113181927,0.277326230813147,-1.6493257062243891,-0.563379363429385,0.41418822421657164,0.5242775142170072,-0.063312002,0.004248095,0.068773854,-0.214573225,-0.022860411,0.210297871,-0.06330987421792571,0.004249891357449761,0.06877750727188962,-0.2145745958111555,-0.022858732241933966,0.21030029455300284,0.002986000000003486,-0.0034415000000000973,-0.047447000000005346,0.03786900000001481,0.054630000000003065,-0.03816100000000233,0.0018221149376383085,-27.048143931107273,13.13403433361312,2.082287030348711,0.07656863470823004,0.00049127340203261,0.6414392514689059,-0.0006499939188021321,0.5414392522509451,0.6414392258609309,-0.0006499284134757026,0.5414391938958746
0.014,-0.216678544,0.277330469,-1.64925672,-0.563594096,0.414165009,0.524487981,-0.21667848807259593,0.27733047719284315,-1.649256976349152,-0.5635938998960371,0.4141654197743447,0.5244877769124247,-0.063309023,0.004244653,0.068726396,-0.214535318,-0.022805775,0.210259667,-0.06330694077665727,0.004246379696126501,0.06872987523705279,-0.21453646665211026,-0.02280444222697859,0.21026269541747347,0.0029724999999984902,-0.003441999999999723,-0.04746949999999828,0.03794549999997798,0.05464199999999941,-0.038246999999998366,0.0018144270502863694,-27.048310429692698,13.134144232470073,2.082066948304663,0.07655912248321199,0.0004912740693622453,0.6414391320641732,-0.0006999934497262601,0.541439133058783,0.6414391043446395,-0.0006999226557056122,0.5414390699426289
0.015,-0.216741851,0.277334712,-1.649188018,-0.563808613,0.414142231,0.524698221,-0.21674179208942848,0.27733472006584464,-1.649188294103755,-0.5638083982160899,0.41414266959807583,0.5246980019822931,-0.063306057,0.004241211,0.068678915,-0.214497334,-0.022751127,0.210221377,-0.06330401683253985,0.004242873001482263,0.0686822453970876,-0.21449832005274852,-0.02275017626883823,0.21022506986843623,0.002958500000008968,-0.003442000000000167,-0.04749199999999831,0.03802200000001221,0.05465450000000338,-0.03833300000002282,0.0018060007802128309,-27.04847575061929,13.134253266174465,2.0818467784949237,0.07654963868314497,0.0004912658686817784,0.6414390037786868,-0.0007499922340915226,0.541439004502859,0.6414389739623773,-0.000749916888321726,0.5414389371076868
0.016,-0.216805156,0.277338951,-1.649119362,-0.564023091,0.414119507,0.524908424,-0.21680509319268795,0.277338959437143,-1.6491196594885564,-0.564022858365457,0.4141199736704127,0.5249081893738001,-0.063303106,0.004237769,0.068631412,-0.214459274,-0.022696466,0.210183001,-0.06330110325948371,0.004239371298343612,0.06863461519859984,-0.21446014936713406,-0.022695927663135444,0.21018739150703852,0.0029444999999945765,-0.003442499999999793,-0.04751449999999835,0.03809850000000381,0.05466699999999847,-0.03841899999999043,0.001797462513212126,-27.04864200670627,13.134362260899154,2.0816266791708236,0.07654017244987381,0.0004912570157263836,0.6414388668250984,-0.0007999916204594082,0.541438868223555,0.6414388347158959,-0.0007999111099354495,0.541438795388756
0.017,-0.216868457,0.277343187,-1.649050755,-0.564237531,0.414096838,0.525118587,-0.21686839139321099,0.27734319531085944,-1.6490510725058025,-0.5642372803139574,0.4140973319772874,0.5251183390268158,-0.063300168,0.004234326,0.068583886,-0.214421137,-0.022641793,0.210144539,-0.06329820052303728,0.0042358737164615535,0.06858698275392769,-0.21442194850043172,-0.022641693125301822,0.210149653015702,0.002931000000000239,-0.003442999999999863,-0.047536999999998386,0.03817500000000962,0.05467899999999837,-0.03850450000001615,0.0017897171762829916,-27.048808179196016,13.134470640821451,2.0814065948203444,0.07653072423887286,0.0004912395460376465,0.6414387208877113,-0.0008499902341719799,0.5414387221502651,0.6414386866068014,-0.0008499053190215919,0.5414386447842816
0.018,-0.216931756,0.27734742,-1.648982195,-0.564451933,0.414074224,0.525328713,-0.21693168670166812,0.27734742769063403,-1.648982533160235,-0.5644516640250675,0.41407474450869186,0.5253284508556795,-0.063297244,0.004230883,0.068536338,-0.214382924,-0.022587108,0.210105992,-0.06329530845714111,0.004232379774591242,0.06853934556757962,-0.21438371111015736,-0.022587468595493255,0.21011182886364874,0.0029170000000000584,-0.003442999999999863,-0.047559999999990055,0.03825099999998827,0.054691000000000045,-0.03859049999998376,0.0017810249964012137,-27.048972788450943,13.13457803060608,2.081186330433133,0.07652127778643414,0.0004912242326876484,0.64143856627796,-0.0008999894186574398,0.5414385672186944,0.6414385296365526,-0.0008998995134613913,0.541438485293018
0.019,-0.216995052,0.277351649,-1.648913682,-0.564666297,0.414051664,0.525538799,-0.21699497912959095,0.2773516565803342,-1.6489140414586145,-0.5646660094583993,0.4140522112581885,0.5255385247755937,-0.063294334,0.00422744,0.068488766,-0.214344635,-0.022532411,0.210067358,-0.0632924279228188,0.004228889700191818,0.06849170162050036,-0.21434543333177702,-0.022533250503374434,0.21007391991420807,0.002902999999996325,-0.003443500000000377,-0.0475825000000043,0.038327499999994075,0.054703500000002236,-0.038677000000006956,0.0017723823374660899,-27.049138672079074,13.134685705761049,2.0809661521661704,0.07651185333469193,0.0004912023805172652,0.641438402787673,-0.0009499885299408202,0.5414384039653387,0.6414383638065476,-0.0009498936913403806,0.5414383169134463
